system:index,VH,VH_Times_VH,VH_VV_Ratio,VV,VV_Plus_VH,VV_Times_VH,VV_Times_VV,VV_VH_Ratio,angle,.geo
00000000000000000000_0,-19.43347892759063,379.4165401983326,0.6744228088283144,-13.114633200791966,-32.54811212838259,256.20371435526795,173.02213342719566,1.4829120333035313,42.043095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73639142202774,11.660626461277655]}"
00000000000000000001_0,-16.638140963838442,280.5785565718601,0.7350892548354074,-12.007665273089682,-28.645806236928127,198.3594010635076,154.42355951471038,1.4794792803382806,39.107475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03920435574072,11.046627964581962]}"
00000000000000000002_0,-11.540233865133397,133.64312657585322,0.46381984799028236,-5.320265400576987,-16.86049926571038,61.2603462638852,28.86888070298053,2.2332751119255176,35.19637,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80959954340163,11.794475438611464]}"
00000000000000000003_0,-14.404970405440048,207.67947212559332,0.6041551412278304,-8.704310818863426,-23.109281224303484,125.51069124198115,75.98264145783298,1.6579273647359167,42.74743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.72156921983976,11.931199024854454]}"
00000000000000000004_0,-15.62073136444923,244.83990957032526,0.23819139934338213,-3.724615721370515,-19.345347085819743,58.450316685391776,17.58491460560903,5.744758668493602,33.470398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28724292853168,13.116526042250163]}"
00000000000000000005_0,-17.483876032968446,306.4249172051256,0.44956352358708324,-7.8611589195257565,-25.3450349524942,137.79207061651033,62.222114609468605,2.2343411898334584,34.368023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.84669996463576,11.83112670220354]}"
00000000000000000006_0,-15.344375405744026,237.331086823991,0.43130371727766187,-6.569877254839953,-21.914252660583983,100.66179303725686,49.4700826416516,2.6400036014335253,42.043095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.74932716211906,11.8030094338106]}"
00000000000000000007_0,-14.604802370252624,222.0127817608003,0.6278363490542316,-9.011336885438238,-23.61613925569086,135.1068519646318,82.6281537917687,1.6041537540255832,40.60505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.0720918437032,12.426799567103194]}"
00000000000000000008_0,-15.67109160337563,245.92858948345852,0.4681913417053534,-7.31682775263581,-22.987919356011442,114.51707395517606,55.174360558612584,2.2142299513562818,38.34786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05681133530946,10.745333018288274]}"
00000000000000000009_0,-23.47171460005802,555.2758505798837,0.7282613041269019,-16.918571527022145,-40.39028612708017,396.36452487082687,287.3120237051222,1.395224805730926,38.34786,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06318937382672,10.781265629653054]}"
0000000000000000000a_0,-19.996493270954296,403.1861878372411,0.5386111823881957,-10.609013839263095,-30.605507110217395,210.84794111181802,115.02517686207756,1.9357021555864748,40.60505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.10299388947692,12.438208171211512]}"
0000000000000000000b_0,-14.191275554365214,201.85199268598365,0.6185807628396511,-8.76349988641719,-22.954775440782402,124.45869486405438,77.62529145828933,1.6371885109028395,36.76147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.26415165144796,10.226735604766073]}"
0000000000000000000c_0,-21.931509886942536,483.33276065215966,0.5901610504869833,-12.838008257939993,-34.769518144882525,280.61092885950586,165.4365692378284,1.7201826501259132,40.60505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.0720918437032,12.435603056887565]}"
0000000000000000000d_0,-13.565435846582425,184.96134340100912,0.7112772901469993,-9.586726118828162,-23.152161965410585,129.90857718520513,91.93070869908807,1.4169332210266854,42.74743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.69327228839,11.924820986337206]}"
0000000000000000000e_0,-24.331732241875667,592.5790058849711,0.8330738736559421,-20.262902158175073,-44.59463440005075,493.3047883696542,410.8095117778166,1.2007908479335885,34.305973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69983456424592,10.357979467775937]}"
0000000000000000000f_0,-11.64274308296175,136.04469634452354,0.4483078011578598,-5.191166283485397,-16.833909366447152,60.33445988864327,27.159956068756596,2.2659579079551118,42.050514,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.9240494848803,12.707073935748484]}"
00000000000000000010_0,-16.14074979980029,271.6078670948377,0.48132531203368606,-7.774910154913424,-23.91565995471371,130.77089404359847,63.7300711684672,2.105062425907549,34.315594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.22265405960349,13.11544806390922]}"
00000000000000000011_0,-14.390969583647268,207.60066700775587,0.5737288716564464,-8.211535133560457,-22.60250471720771,117.83788984861968,67.93264213254436,1.7709479919668005,42.74743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.696326560356,11.898949506154564]}"
00000000000000000012_0,-18.167574525748762,334.7507575812636,0.6208632296264409,-11.101363440553547,-29.268937966302307,201.15406664449634,123.45883150102122,1.6432995115703557,34.366165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.84229821974358,11.790433019832925]}"
00000000000000000013_0,-14.20656172209735,204.93315800124233,0.7036420179999893,-9.753298647340122,-23.959860369437465,137.6023947438197,95.6189967802477,1.4740126147279413,42.043175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.70036897913454,11.628736268691412]}"
00000000000000000014_0,-17.29705215246997,305.1101496451888,0.5029543357034583,-8.61477839565154,-25.91183054812151,150.16878443991817,75.35530306116274,2.02040151913998,40.60505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.07029521313497,12.422218159154184]}"
00000000000000000015_0,-16.4684709637193,271.69782210521845,0.4995908711612366,-8.211855814363995,-24.68032677808329,135.2325090613219,67.45877774930196,2.0062458068532494,36.831013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6080175936452,11.923383681882614]}"
00000000000000000016_0,-17.451040883641372,304.78479030894243,0.5396620831324552,-9.394153939840972,-26.84519482348235,163.65867735847948,90.00561404237583,1.895187652995111,39.10746,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.07926921741246,11.056778927292513]}"
00000000000000000017_0,-10.581811833868468,112.27611380458552,0.3391432283043663,-3.5760246549570995,-14.157836488825568,37.816715710682985,13.496726792809069,3.1354389472913473,34.315594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25526290441702,13.086162985646922]}"
00000000000000000018_0,-15.418616734894586,238.13597901641376,0.4730135281931786,-7.2494141785778075,-22.668030913472396,111.29809654098416,54.614139612930934,2.2128206378415456,42.050354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.99564521302463,12.802654681978803]}"
00000000000000000019_0,-11.636327970129953,136.42647818688974,0.5594205356060391,-6.479412320855367,-18.11574029098532,75.63435600156656,42.138636405758824,1.797219858445244,43.437313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.44623558525713,11.280639096095097]}"
0000000000000000001a_0,-17.06997091558411,292.29436552332453,0.5973338416236901,-10.123615179805558,-27.19358609538967,172.11986051478473,103.6202488737607,1.7128179388528315,39.111774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.97245953013065,10.780726640482584]}"
0000000000000000001b_0,-14.029972421027265,198.273675443257,0.5794809442486345,-8.041901032611952,-22.071873453639217,112.45150442433575,64.83670972948305,1.7546287186956748,36.013546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63865014483368,11.908112322052583]}"
0000000000000000001c_0,-12.265613006552872,151.0923648678994,0.4855701270929632,-5.951084234584162,-18.216697241137034,73.21854973854293,36.11047693663447,2.093063243742784,36.02839,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.647004476976,11.918622610876781]}"
0000000000000000001d_0,-17.628106003640898,313.52814181112797,0.6513803701314479,-11.284608957847514,-28.912714961488405,197.49828227748446,132.00859434325315,1.6353876117323563,37.551292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.14225026739294,9.928045772796333]}"
0000000000000000001e_0,-17.608970389813376,311.2940273983518,0.5701662429950327,-10.02222459540494,-27.631194985218315,176.8493369529027,100.83498669527538,1.7598732951468323,33.459858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7387316160483,10.374418637475323]}"
0000000000000000001f_0,-20.389859678311172,417.60048615955935,0.7239005767295537,-14.740838797372732,-35.13069847568391,301.4801925905711,218.06031393580577,1.383860120952817,40.60505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09320225288,12.413773995483462]}"
00000000000000000020_0,-14.235184778078148,203.5851250027857,0.5791435398691249,-8.218824339230279,-22.454009117308427,117.20343265958637,67.89542376863137,1.737878955983063,42.74743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.63110887072892,11.86661015592626]}"
00000000000000000021_0,-15.968892006993741,258.5931465116919,0.7055047918575835,-11.091981639211452,-27.060873646205195,176.9447188379244,123.73416503923333,1.449426101538786,42.746494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.64341579012137,11.852416774437172]}"
00000000000000000022_0,-14.818980776697135,219.9186200023312,0.6193174632537907,-9.169244945650005,-23.988225722347142,135.94400346914338,84.31582242207953,1.6197970526639256,42.050354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.00974876298531,12.788371468961302]}"
00000000000000000023_0,-21.429568604620126,464.30076063025746,0.6988748713894734,-14.969163553405371,-36.3987321580255,324.27364760551194,229.38118554594712,1.447997466465255,42.043175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.72300652429436,11.643917796993032]}"
00000000000000000024_0,-22.30459963016172,504.177108252418,0.6150024699924015,-13.536337558395196,-35.84093718855692,302.30095076915353,184.31546421913802,1.6559717662949507,37.551292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.14629268617148,9.943676458740013]}"
00000000000000000025_0,-13.157774964154434,173.32570896731158,0.4846489800337184,-6.359450215725136,-19.51722517987957,83.53205180993426,41.37082433874008,2.1183119886600283,42.043095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.7548967168806,11.821245234078225]}"
00000000000000000026_0,-22.83683288806381,522.2878510862903,0.6267792654969172,-14.292101566958502,-37.12893445502231,326.38237885984483,204.30044383447168,1.5981692508876848,39.10746,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.08025736422499,11.053275497684446]}"
00000000000000000027_0,-12.798017832890213,163.83708448297287,0.6993890935756114,-8.948359940363027,-21.74637777325324,114.52380880673586,80.09360101592519,1.4305462987359858,36.013546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63029581269137,11.903980071745632]}"
00000000000000000028_0,-22.20155992782632,494.1042279616612,0.5011689616542659,-11.087739137668471,-33.28929906549479,245.92652196181325,122.98559392508952,2.0050350943188078,34.305973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.65878155576166,10.349984461747272]}"
00000000000000000029_0,-22.304211588279408,510.40594199301245,0.6460693727826083,-13.958516449276479,-36.262728037555895,307.56679518434674,205.73714674476753,1.6991021154691337,40.60505,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.09041747549924,12.42653007251796]}"
0000000000000000002a_0,-30.108119649858953,916.9111612897606,0.6304835378071838,-18.85063067660619,-48.95875032646514,569.6222759044725,358.49546464765075,1.6052365567980276,39.111774,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.99240212943809,10.74515335523145]}"
0000000000000000002b_0,-11.607327029943503,135.43890972355578,0.5415672773358018,-6.286613001888772,-17.89394003183228,73.37588401849139,40.35809580834244,1.8745046507343948,42.050514,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.93339196383515,12.673836270236063]}"
0000000000000000002c_0,-15.884958317899889,253.1011423957707,0.6416351221797021,-10.170479157698772,-26.055437475598655,161.6829524319565,103.69775344622971,1.5644595677115862,36.758747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.16318101351293,9.939184882319415]}"
0000000000000000002d_0,-13.57534026408205,188.04294782716508,0.5914227658826361,-7.9219901759874185,-21.497330440069472,108.41501259796881,63.321039997689034,1.715318620002839,34.36691,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.83906428472075,11.797799205162706]}"
0000000000000000002e_0,-11.729594502779385,138.2219969475096,0.36207392393109483,-4.211356627456204,-15.940951130235588,49.19055060386986,18.85349937278718,2.991294839266843,43.437313,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.4459660906719,11.273542405350552]}"
0000000000000000002f_0,-14.111191868555606,199.5611594832305,0.501658173085248,-7.077287557836027,-21.18847942639162,100.05562124567501,51.00730325492955,2.0247224857372754,42.74743,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.70638769153814,11.912783561530004]}"
00000000000000000030_0,-20.65805512615721,442.92723305659774,0.5153768891043079,-10.376405191265379,-31.03446031742258,216.93280451930443,108.43286326595064,1.979608501088906,42.043175,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73423546534585,11.619393789736568]}"
00000000000000000031_0,-17.27878135822875,310.7777171327595,0.564355656756286,-9.33653830483796,-26.615319663066714,160.4293878243681,88.60760698259725,1.8873439177486817,34.31639,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.25894599708191,13.120209134915052]}"
