system:index,VH,VH_Times_VH,VH_VV_Ratio,VV,VV_Plus_VH,VV_Times_VH,VV_Times_VV,VV_VH_Ratio,angle,.geo
00000000000000000000_0,-37.00368812193865,1433.5912919129864,0.5069424146514581,-18.240988192209173,-55.24467631414783,689.1451213589697,336.4360461217613,2.0096388771500937,33.459858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73406037657088,10.294468577188686]}"
00000000000000000001_0,-28.404374273288663,820.7243568234612,0.6419731786567441,-18.10704071071642,-46.511414984005086,519.5442898292406,336.0831021388606,1.5896846505692976,33.470398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.31338390329955,13.127934646358481]}"
00000000000000000002_0,-35.85877836735925,1361.7051333402983,0.5661459294582519,-19.2903247285204,-55.14910309587966,693.8101702284225,373.2479728893304,1.8579897611848533,35.197475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.8221759573793,11.835887773209373]}"
00000000000000000003_0,-42.673958522015624,1835.3564338167914,0.4279456037332622,-18.054247839609474,-60.7282063616251,767.8811594469602,326.80093309555537,2.378235863687657,36.76147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.28966380551695,10.20724216310068]}"
00000000000000000004_0,-35.90594161126632,1306.5000860527853,0.5168839443121023,-18.059727667249266,-53.965669278515584,640.6814344574135,330.3144758356322,2.037879280645001,35.145206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82083763301682,11.847835366488162]}"
00000000000000000005_0,-25.78736507278115,717.9067246515556,0.6461021225887124,-17.092605233520846,-42.879970306302,483.4878288451025,327.49848809797084,1.566604801408667,43.429047,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10631308174631,9.876662138544697]}"
00000000000000000006_0,-31.946593166207247,1072.6301085531688,0.8671738539036303,-27.2786276234474,-59.225220789654635,889.750010874543,929.9705723270412,1.4024124319686355,33.459858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74259437177001,10.34890648340633]}"
00000000000000000007_0,-28.568970199462512,833.9000696884912,0.5794902297266273,-16.368059565050242,-44.93702976451276,472.11224646340764,269.0741561811559,1.7365506728221096,33.459858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71762120687148,10.356182837207697]}"
00000000000000000008_0,-33.8016621112309,1178.3622751049477,0.5648432924388934,-18.538675380507208,-52.34033749173811,623.1807415784531,346.1035901282418,1.8476857136226705,33.470398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.30889232687896,13.10071569324966]}"
00000000000000000009_0,-23.717694481479437,565.2454853700069,0.6101372890581003,-14.560742439103338,-38.27843692058278,349.2264576790941,218.40830335046093,1.6589601047158595,33.470398,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.30071765779347,13.124161722165178]}"
0000000000000000000a_0,-37.44483010033241,1414.970553564241,0.4798628675691529,-17.760318536213255,-55.20514863654566,663.0448750152188,316.33521728286894,2.1210215252024494,34.305973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69687012380832,10.301924594046877]}"
0000000000000000000b_0,-39.77193742157424,1693.163166459642,0.4868472530548808,-17.829285180662186,-57.601222602236426,713.7686520972765,318.0802058349108,2.2171747888928484,33.459858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7341502080993,10.302283920160527]}"
0000000000000000000c_0,-30.682569782915966,949.2112853045912,0.514525234999571,-15.690324108993016,-46.37289389190898,482.3091975558139,246.51657617974809,1.9543893618101218,34.305973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69695995533674,10.310099263132365]}"
0000000000000000000d_0,-33.659465778075095,1170.8211174661621,0.5598611291330643,-18.37587335990186,-52.03533913797695,622.4094813531826,339.9722848762119,1.831218455480746,36.76147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.27178733136297,10.234640779266325]}"
0000000000000000000e_0,-25.236747541656847,638.1387885089466,0.5857463241305979,-14.751218087388034,-39.987965629044865,372.20689501841565,217.67588005644802,1.7117200739747789,33.459858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72363991927509,10.324921465320338]}"
0000000000000000000f_0,-31.83097621417396,1055.7893066921904,0.5222683157751002,-16.04094554057159,-47.87192175474555,511.5635221998118,257.4803673542226,1.9817621871105315,34.305973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71142283141107,10.359865929872587]}"
00000000000000000010_0,-29.922087705807257,913.6385271518808,0.6214791952568272,-18.178601006949012,-48.10068871275629,541.8587857553115,331.7422151962846,1.6587662312392528,35.145206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83296488935244,11.89050534248384]}"
00000000000000000011_0,-25.390832895537724,653.3840875709963,0.4358097567674333,-10.74029146604993,-36.13112436158766,267.61862501484245,118.40019482040141,2.4880786027660564,34.305973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.66390195288115,10.335970743315007]}"
00000000000000000012_0,-39.00212116098413,1559.6381237590836,0.5416338285056885,-20.69186269121441,-59.693983852198535,809.768048757166,430.02472864844276,1.8861485554548763,35.197475,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.81660640261777,11.835708110152549]}"
