system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,DI,EVI,MNDWI,MSK_CLDPRB,MSK_SNWPRB,NDBI,NDTI,NDVI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,.geo
00000000000000000000_0,190,677,2312,1921,990,1288,1628,1806,1857,1977,1900,1959,1876,0.13515699,0.16022620169651275,-0.28444445,0,0,0.09781577,-0.19725771,0.077097505,0,0,0,5,101,131,165,2225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43373985424417,17.370498070198156]}"
00000000000000000001_0,203,279,1617,1127,332,533,480,959,1719,2058,2684,2294,2009,0.44304648,1.791869918699187,-0.50418603,0,0,-0.24808185,-0.35783133,0.6965866,0,0,0,4,34,54,48,945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.62686849176616,15.824138140114812]}"
00000000000000000002_0,253,423,2709,1798,567,689,796,1264,1983,2161,2224,2543,2407,0.3296496,1.2988903038020738,-0.59446734,0,0,0.09831745,-0.44591877,0.47284767,0,0,0,4,58,71,82,2330,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.55276205510815,13.729626223661736]}"
00000000000000000003_0,190,656,4444,3536,795,1170,2042,2456,2580,2842,2854,3106,3112,0.21592802,0.22199136092733335,-0.5831849,0,0,0.21786791,-0.50276244,0.16584967,0,0,0,5,81,118,207,1614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.34651344015616,16.328901498261573]}"
00000000000000000004_0,202,404,1824,1576,570,798,824,1140,1863,1930,2088,2037,1899,0.2446707,1.1457577955039884,-0.39130434,0,0,-0.06748466,-0.32771695,0.43406594,0,0,0,7,59,81,84,945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.51251295609775,15.881181160656402]}"
00000000000000000005_0,255,482,3186,2284,579,728,908,1206,1559,1796,1942,2160,2175,0.25995085,0.8479580121371166,-0.62800205,0,0,0.2425897,-0.51660025,0.362807,0,0,0,5,58,75,94,2366,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.5448568806079,13.734656789252806]}"
00000000000000000006_0,138,273,3142,2250,683,967,1328,1532,2108,2378,2762,2650,2495,0.29459488,0.6392083444771329,-0.52932584,0,0,0.064363144,-0.39881876,0.35061124,0,0,0,5,68,99,136,1165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.44326199625583,13.167370687331328]}"
00000000000000000007_0,238,770,4163,3116,1003,1438,2160,2548,2842,3093,3183,3388,3405,0.23462185,0.29664211564112974,-0.48652026,0,0,0.13340594,-0.36846727,0.19146547,0,0,0,5,102,148,219,1509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1877857037341,12.19557321297083]}"
00000000000000000008_0,203,421,1728,1408,624,860,1122,1328,1412,1584,1702,1621,1669,0.2039312,0.38615179760319573,-0.3353941,0,0,0.007580175,-0.24162258,0.20538244,0,0,0,7,64,87,114,945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.65408744487499,15.807698970415425]}"
00000000000000000009_0,100,239,2035,1167,345,487,547,921,1407,1610,1815,1915,1834,0.39898255,1.2626966739693288,-0.61379856,0,0,0.057142857,-0.41112456,0.53683317,0,0,0,4,36,50,56,716,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.91172426836046,15.210319306475943]}"
0000000000000000000a_0,245,563,3261,2212,724,1060,1592,1911,2195,2401,2673,2766,2603,0.28915924,0.39766038846380225,-0.50937283,0,0,0.09908999,-0.35207823,0.25345838,0,0,0,5,75,108,162,1756,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.31768209381778,12.317923754667909]}"
0000000000000000000b_0,179,700,2446,2105,772,921,1138,1327,1571,1706,1700,1844,1935,0.15616286,0.5129609346476817,-0.45292544,0,0,0.17993246,-0.3912756,0.19802678,0,0,0,5,80,93,116,2072,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34822481347784,12.80903272049605]}"
