system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,DI,EVI,MNDWI,MSK_CLDPRB,MSK_SNWPRB,NDBI,NDTI,NDVI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,.geo
00000000000000000000_0,147,321,86,72,380,720,574,492,172,174,154,126,191,-0.53488374,-1.4018691588785046,0.7866005,0,0,-0.28333333,0.8181818,-0.5769231,0,0,0,6,38,74,59,1503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.89897276560781,12.483393430002725]}"
00000000000000000001_0,203,382,964,720,334,487,410,796,1210,1381,1548,1379,408,0.35090077,1.891622340425532,-0.3287388,0,0,-0.23248407,-0.1930406,0.5812053,0,0,0,6,35,51,42,945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.52508937007542,15.863304686502424]}"
00000000000000000002_0,147,351,91,68,428,713,532,483,253,232,200,181,137,-0.45708954,-4.53551912568306,0.7736318,0,0,-0.37457046,0.82586426,-0.45355192,0,0,0,6,45,73,56,1503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.89097775957916,12.48590871279826]}"
00000000000000000003_0,147,347,113,96,425,717,539,478,225,227,186,181,221,-0.4622302,-3.7794432548179873,0.72771084,0,0,-0.24414715,0.76383764,-0.48689654,0,0,0,6,43,73,56,1503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.89753546115323,12.48186629401972]}"
00000000000000000004_0,179,614,400,317,596,850,595,951,780,847,716,605,1237,-0.022339027,-1.6530054644808743,0.36,0,0,-0.28315413,0.45672664,0.09229596,0,0,0,2,61,86,60,2014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74285471779154,12.964081938535081]}"
00000000000000000005_0,147,345,83,74,411,705,566,468,231,231,203,186,136,-0.4629108,-1.7536231884057971,0.7893401,0,0,-0.41958043,0.8100128,-0.4720416,0,0,0,6,45,72,58,1503,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.89079809652233,12.48554938668461]}"
00000000000000000006_0,252,446,411,379,501,786,521,790,419,427,355,286,681,-0.2066287,1.5063520871143377,0.3132832,0,0,0.07310705,0.34935623,-0.18949772,0,0,0,2,52,81,54,1448,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.95098522055834,14.796734949667316]}"
00000000000000000007_0,143,290,264,305,408,552,425,448,270,305,264,282,342,-0.23754513,1.6428571428571428,0.3529412,0,0,0.0,0.2882147,-0.233672,0,0,0,6,44,59,44,1206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.42969743546563,13.142217859375982]}"
00000000000000000008_0,203,436,171,147,588,925,755,710,342,316,296,236,788,-0.39311242,-2.7517985611510793,0.6879562,0,0,-0.26766595,0.7257463,-0.43672693,0,0,0,6,60,94,77,945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.52706566370048,15.869323398906024]}"
00000000000000000009_0,100,324,505,406,376,484,446,511,337,473,456,528,1461,0.038357645,0.07987220447284345,-0.02123357,0,0,0.050988555,0.08764045,0.011086474,0,0,0,2,40,50,46,802,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.92987023709968,15.22118892141379]}"
0000000000000000000a_0,143,187,166,125,256,361,218,199,61,94,120,103,293,-0.25906736,0.49898167006109984,0.370019,0,0,0.16083916,0.48559672,-0.28994083,0,0,0,6,28,37,23,1206,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.45925200831316,13.150392528461468]}"
