system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,DI,EVI,MNDWI,MSK_CLDPRB,MSK_SNWPRB,NDBI,NDTI,NDVI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,.geo
00000000000000000000_0,291,445,2987,2542,633,978,1530,1798,1957,2136,2098,2261,2398,0.18187101,0.21740794610732606,-0.50668347,0,0,0.17482792,-0.44431818,0.1565601,0,0,0,5,65,100,156,1874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.73639142202774,11.660626461277655]}"
00000000000000000001_0,231,966,2873,2712,874,1138,1423,1727,1842,1923,1782,2041,2189,0.09465021,0.23831651619755706,-0.43256044,0,0,0.23437165,-0.40883118,0.11201248,0,0,0,5,90,116,146,1882,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.03920435574072,11.046627964581962]}"
00000000000000000002_0,290,828,2546,1948,1080,1236,1362,1577,1790,1962,2260,2121,2076,0.20300375,0.962280325760823,-0.34637758,0,0,0.059508946,-0.22361809,0.24792932,0,0,0,7,113,127,139,1836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80959954340163,11.794475438611464]}"
00000000000000000003_0,262,333,1869,1069,378,564,436,979,1907,2211,2370,2459,2452,0.44380108,2.2467472118959106,-0.53637487,0,0,-0.118188255,-0.30924678,0.68923736,0,0,0,4,41,58,46,1479,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.72156921983976,11.931199024854454]}"
00000000000000000004_0,204,1186,2861,2578,1344,1622,1792,1979,2132,2207,2118,2286,2260,0.084867634,0.2920100322465066,-0.27637744,0,0,0.14922675,-0.22761905,0.08337596,0,0,0,5,138,165,183,3226,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.28724292853168,13.116526042250163]}"
00000000000000000005_0,287,591,3727,3139,714,1005,1742,2066,2207,2379,2358,2488,2837,0.18975462,0.2065450643776824,-0.57523245,0,0,0.22497946,-0.51496136,0.15024391,0,0,0,5,73,103,176,2228,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.84669996463576,11.83112670220354]}"
00000000000000000006_0,271,297,2060,1214,446,671,605,1111,2095,2323,2634,2545,2420,0.42696458,1.7371575342465753,-0.5086049,0,0,-0.122283764,-0.28806368,0.6264279,0,0,0,4,46,71,63,1865,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.74932716211906,11.8030094338106]}"
00000000000000000007_0,297,536,1965,1410,641,834,720,1132,1907,2118,2014,2208,2354,0.27880442,2.1178396072013093,-0.40407288,0,0,-0.012314652,-0.25668448,0.4732992,0,0,0,5,64,85,74,2423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.0720918437032,12.426799567103194]}"
00000000000000000008_0,102,379,1822,1070,292,441,412,794,1418,1682,1824,1899,2035,0.4140004,1.6753678215472234,-0.6102519,0,0,-5.485464E-4,-0.4162806,0.6314848,0,0,0,4,30,45,41,894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.05681133530946,10.745333018288274]}"
00000000000000000009_0,234,676,4170,3326,921,1302,2016,2341,2478,2689,2768,2974,2921,0.19972333,0.2362551052466227,-0.52412283,0,0,0.20207553,-0.43733793,0.15719064,0,0,0,5,94,133,207,1850,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.06318937382672,10.781265629653054]}"
