system:index,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,DI,EVI,MNDWI,MSK_CLDPRB,MSK_SNWPRB,NDBI,NDTI,NDVI,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,.geo
00000000000000000000_0,203,948,263,225,1140,1446,1510,1655,1285,1331,1172,1046,498,-0.07598197,-0.5020796197266786,0.69221765,0,0,-0.6334495,0.7307002,-0.12602535,0,0,0,6,118,148,155,2522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73406037657088,10.294468577188686]}"
00000000000000000001_0,204,916,544,478,906,990,810,829,717,707,673,681,958,-0.09348231,0.2716098334655036,0.29074314,0,0,-0.10599836,0.34877384,-0.09238031,0,0,0,6,92,102,85,3271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.31338390329955,13.127934646358481]}"
00000000000000000002_0,289,487,247,191,577,662,486,523,426,421,371,349,317,-0.15975527,0.2765752765752766,0.45654565,0,0,-0.20064725,0.5521688,-0.13418902,0,0,0,6,58,68,51,1836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.8221759573793,11.835887773209373]}"
00000000000000000003_0,203,571,205,173,563,666,410,380,299,294,282,264,298,-0.26546004,0.21628928692125715,0.52927667,0,0,-0.15811089,0.5876043,-0.1849711,0,0,0,6,59,68,43,2522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.28966380551695,10.20724216310068]}"
00000000000000000004_0,282,444,319,274,449,490,375,380,358,352,328,350,307,-0.08291992,0.14901712111604312,0.21137206,0,0,-0.013910355,0.2827225,-0.06685633,0,0,0,6,47,50,40,2194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.82083763301682,11.847835366488162]}"
00000000000000000005_0,258,412,154,126,561,825,509,1280,895,923,708,506,113,-0.049089905,-1.1192350956130483,0.6853933,0,0,-0.64269143,0.73501575,0.16351685,0,0,0,3,59,83,51,2179,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.10631308174631,9.876662138544697]}"
00000000000000000006_0,203,442,278,175,423,732,522,930,755,862,773,636,549,0.073544435,0.8554873892297205,0.44950494,0,0,-0.47098002,0.61411244,0.1938224,0,0,0,6,43,76,53,2522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74259437177001,10.34890648340633]}"
00000000000000000007_0,203,913,3515,3364,1062,1368,1652,1884,1916,2002,2020,2152,2149,0.07821175,0.23185483870967744,-0.4396887,0,0,0.27009937,-0.42180896,0.100217864,0,0,0,5,106,139,168,2354,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71762120687148,10.356182837207697]}"
00000000000000000008_0,204,955,540,462,943,1050,894,932,748,754,670,690,956,-0.11094783,0.5397590361445783,0.3207547,0,0,-0.10743801,0.3888889,-0.14322251,0,0,0,6,97,107,91,3271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.30889232687896,13.10071569324966]}"
00000000000000000009_0,204,956,637,542,874,952,824,838,759,750,704,715,1124,-0.053968254,0.33112582781456956,0.19823788,0,0,-0.049962714,0.27443105,-0.07853403,0,0,0,6,89,97,84,3271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.30071765779347,13.124161722165178]}"
0000000000000000000a_0,203,925,224,187,1108,1422,1450,1603,1217,1273,1134,972,463,-0.08459724,-0.5180327868852459,0.72782505,0,0,-0.6701031,0.7675575,-0.12229102,0,0,0,6,113,145,148,2522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69687012380832,10.301924594046877]}"
0000000000000000000b_0,203,963,256,220,1134,1456,1548,1667,1264,1309,1130,1022,499,-0.09470934,-0.5459770114942529,0.7009346,0,0,-0.63059163,0.73747015,-0.15608664,0,0,0,6,114,148,158,2522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7341502080993,10.302283920160527]}"
0000000000000000000c_0,203,884,231,199,1036,1400,1462,1657,1142,1186,1034,865,398,-0.11662011,-0.5252822778595975,0.7167382,0,0,-0.6347826,0.75109446,-0.17147435,0,0,0,6,107,144,150,2522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.69695995533674,10.310099263132365]}"
0000000000000000000d_0,203,803,220,230,909,1136,860,804,395,370,346,280,278,-0.41407868,0.9805417779473484,0.67551625,0,0,-0.22261484,0.6632504,-0.42620233,0,0,0,6,93,115,86,2522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.27178733136297,10.234640779266325]}"
0000000000000000000e_0,203,884,3505,3363,1009,1344,1598,1815,1862,1979,2042,2148,2174,0.08191925,0.2731635289774825,-0.4456589,0,0,0.26374617,-0.42893562,0.12197802,0,0,0,5,104,138,163,2298,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.72363991927509,10.324921465320338]}"
0000000000000000000f_0,203,916,3155,3002,1050,1324,1534,1695,1674,1790,1796,1885,1948,0.067370914,0.209532949456174,-0.4087966,0,0,0.27449,-0.38788718,0.078678675,0,0,0,5,105,136,157,2295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71142283141107,10.359865929872587]}"
00000000000000000010_0,282,455,299,246,487,546,324,348,311,297,295,290,268,-0.14285715,0.05132743362831858,0.2923077,0,0,0.0067340066,0.37878788,-0.046849757,0,0,0,6,50,56,34,2194,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83296488935244,11.89050534248384]}"
00000000000000000011_0,203,855,3465,3173,1086,1444,1678,1895,1905,2032,2022,2128,1863,0.08610451,0.21794221996958946,-0.4116928,0,0,0.26298523,-0.37448558,0.09297297,0,0,0,5,112,148,171,2578,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.66390195288115,10.335970743315007]}"
00000000000000000012_0,254,323,124,92,346,532,327,351,243,247,221,206,151,-0.2879257,0.6447688564476886,0.6219512,0,0,-0.28115943,0.7051282,-0.19343066,0,0,0,6,37,55,34,1693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.81660640261777,11.835708110152549]}"
00000000000000000013_0,203,874,3343,3238,987,1284,1564,1737,1752,1874,1888,2012,1996,0.07269558,0.20927528743056453,-0.44499674,0,0,0.2781495,-0.43210968,0.09385863,0,0,0,5,101,131,160,2294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74762493736108,10.337767373883247]}"
00000000000000000014_0,203,884,3281,3145,1064,1368,1638,1823,1829,1926,1964,2044,2015,0.07501537,0.21374246000524522,-0.41148633,0,0,0.25109628,-0.39375138,0.09050527,0,0,0,5,109,139,167,2344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71519575560437,10.346570863667619]}"
00000000000000000015_0,291,558,288,231,643,823,485,436,322,341,302,291,213,-0.28223845,0.2842497670083877,0.48154816,0,0,-0.023728814,0.5616698,-0.23252858,0,0,0,6,64,84,50,1836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80214352654343,11.78100070934967]}"
00000000000000000016_0,204,950,567,478,941,1074,881,926,757,773,664,715,959,-0.11534315,0.4902846814279259,0.30895796,0,0,-0.07879773,0.38402063,-0.14045307,0,0,0,6,97,111,91,3271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.31032963133354,13.09757158975524]}"
