VH,VH_Times_VH,VH_VV_Ratio,VV,VV_Plus_VH,VV_Times_VH,VV_Times_VV,VV_VH_Ratio,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,DI,EVI,MNDWI,NDBI,NDTI,NDVI,State,wClass
-20.471159714502004,419.0683800566498,0.5348915187932312,-10.949849711148785,-31.421009425650787,224.1561222867204,119.89920869674512,1.869537962120058,2312,1921,990,1288,1628,1806,1857,1977,1900,1959,0.13515699,0.1602262016965127,-0.28444445,0.09781577,-0.19725771,0.077097505,KA,nonWater
-12.451717813787823,157.27941641488414,0.5845718036001957,-7.1845584489757925,-19.636276262763623,89.62397682245467,52.10857071174847,1.7481475254884318,2709,1798,567,689,796,1264,1983,2161,2224,2543,0.3296496,1.2988903038020738,-0.59446734,0.09831745,-0.44591877,0.47284767,KA,nonWater
-21.04541309256004,443.43063267646914,0.5383976530902306,-11.31787613571609,-32.36328922827613,238.19799299506408,128.0944625963569,1.8594191259506383,4444,3536,795,1170,2042,2456,2580,2842,2854,3106,0.21592802,0.2219913609273333,-0.5831849,0.21786791,-0.50276244,0.16584967,KA,nonWater
-15.790104000078829,250.8858268413793,0.5541460347688013,-8.694810157038107,-24.48491415711693,137.24789985897965,76.30248050932802,1.833438407732792,3186,2284,579,728,908,1206,1559,1796,1942,2160,0.25995085,0.8479580121371166,-0.62800205,0.2425897,-0.51660025,0.362807,KA,nonWater
-17.177968338629025,296.7271647968837,0.5992346298938187,-10.23804465309477,-27.416012991723804,175.89407126402452,106.111522687915,1.6987531600243817,3142,2250,683,967,1328,1532,2108,2378,2762,2650,0.29459488,0.6392083444771329,-0.52932584,0.064363144,-0.39881876,0.35061124,KA,nonWater
-19.174483162204517,369.4500820039543,0.7044784804117028,-13.437263997183882,-32.6117471593884,257.49283628300765,181.22523991426127,1.4336961907227357,4163,3116,1003,1438,2160,2548,2842,3093,3183,3388,0.23462185,0.2966421156411297,-0.48652026,0.13340594,-0.36846727,0.19146547,KA,nonWater
-14.253153411385792,203.84065125697097,0.6245304251789205,-8.892138411037516,-23.145291822423307,126.99872326573409,79.55776054131138,1.609950631971599,2035,1167,345,487,547,921,1407,1610,1815,1915,0.39898255,1.2626966739693288,-0.61379856,0.057142857,-0.41112456,0.53683317,KA,nonWater
-14.481906184108729,210.5766424114317,0.4376039811919812,-6.347075668058495,-20.828981852167228,92.44221311236484,41.60131377282495,2.346126955657626,3261,2212,724,1060,1592,1911,2195,2401,2673,2766,0.28915924,0.3976603884638022,-0.50937283,0.09908999,-0.35207823,0.25345838,KA,nonWater
-17.08529418994012,293.9718828591431,0.6565464526467354,-11.11217200002092,-28.19746618996104,189.39550966386517,124.01077220642748,1.54771921673789,2446,2105,772,921,1138,1327,1571,1706,1700,1844,0.15616286,0.5129609346476817,-0.45292544,0.17993246,-0.3912756,0.19802678,KA,nonWater
-14.431546389344652,209.81476254191244,0.5563150106866295,-7.956821043349072,-22.38836743269372,114.6745001645748,68.42417432748863,1.9806783428080668,3331,2458,729,1012,1290,1761,1989,2114,2174,2463,0.22674094,0.4969083754918493,-0.5339627,0.21017256,-0.4167147,0.2551963,KA,nonWater
